,Board State,Score,Best Move,Depth
1985,"((-1, 1, 0), (0, 0, 0), (0, 0, 0))",0,"(1, 0)",2
4469,"((0, 0, 0), (0, 0, 0), (1, -1, 0))",2,"(0, 0)",2
4517,"((0, 0, 0), (0, 0, 0), (0, -1, 1))",2,"(0, 2)",2
2615,"((0, 1, 0), (0, 0, 0), (0, -1, 0))",0,"(0, 0)",2
4471,"((0, 0, 0), (0, 0, 0), (1, 0, -1))",2,"(0, 0)",2
4515,"((0, 0, 0), (0, 0, -1), (0, 0, 1))",2,"(1, 1)",2
4516,"((0, 0, 0), (0, 0, 0), (-1, 0, 1))",2,"(0, 0)",2
4514,"((0, 0, 0), (0, -1, 0), (0, 0, 1))",0,"(0, 0)",2
4467,"((0, 0, 0), (0, 0, -1), (1, 0, 0))",2,"(0, 0)",2
4513,"((0, 0, 0), (-1, 0, 0), (0, 0, 1))",2,"(0, 2)",2
4512,"((0, 0, -1), (0, 0, 0), (0, 0, 1))",2,"(0, 0)",2
3685,"((0, -1, 0), (1, 0, 0), (0, 1, 0))",0,"(2, 0)",3
3669,"((0, -1, 0), (1, 0, 0), (1, 0, 0))",-2,"(0, 0)",3
3715,"((0, 0, -1), (1, 1, 0), (0, 0, 0))",0,"(1, 2)",3
2194,"((0, 1, -1), (0, 0, 0), (0, 0, 1))",0,"(1, 1)",3
3644,"((0, -1, 0), (1, 0, 1), (0, 0, 0))",-2,"(1, 1)",3
4180,"((0, 0, 0), (-1, 1, 0), (0, 0, 1))",2,"(0, 0)",3
678,"((1, 1, -1), (0, 0, 0), (0, 0, 0))",-2,"(1, 2)",3
4176,"((0, 0, 0), (-1, 1, 0), (0, 1, 0))",2,"(0, 0)",3
4190,"((0, 0, 0), (0, 1, -1), (0, 1, 0))",2,"(0, 0)",3
3691,"((0, -1, 0), (1, 0, 0), (0, 0, 1))",0,"(1, 1)",3
4186,"((0, 0, 0), (0, 1, -1), (1, 0, 0))",2,"(0, 0)",3
4064,"((0, -1, 0), (0, 1, 0), (1, 0, 0))",2,"(0, 0)",3
3601,"((0, -1, 0), (1, 1, 0), (0, 0, 0))",2,"(0, 0)",3
3354,"((0, 0, 1), (0, 1, 0), (0, 0, -1))",0,"(2, 0)",3
3355,"((0, 0, 1), (0, 0, 1), (0, 0, -1))",-2,"(2, 0)",3
3356,"((0, 0, 1), (0, 0, 0), (1, 0, -1))",2,"(0, 0)",3
3357,"((0, 0, 1), (0, 0, 0), (0, 1, -1))",0,"(0, 1)",3
815,"((1, 0, -1), (0, 0, 1), (0, 0, 0))",0,"(1, 0)",3
2351,"((0, 1, 0), (-1, 0, 0), (0, 0, 1))",0,"(1, 1)",3
2346,"((0, 1, 0), (-1, 0, 0), (0, 1, 0))",-2,"(1, 1)",3
3428,"((-1, 0, 0), (1, 1, 0), (0, 0, 0))",0,"(1, 2)",3
2269,"((0, 1, 1), (-1, 0, 0), (0, 0, 0))",-2,"(0, 0)",3
2336,"((0, 1, 0), (-1, 0, 0), (1, 0, 0))",0,"(1, 1)",3
3491,"((-1, 0, 0), (1, 0, 1), (0, 0, 0))",-2,"(1, 1)",3
2321,"((0, 1, 0), (-1, 0, 1), (0, 0, 0))",0,"(0, 2)",3
3525,"((-1, 0, 0), (1, 0, 0), (1, 0, 0))",-2,"(0, 1)",3
3546,"((-1, 0, 0), (1, 0, 0), (0, 1, 0))",-2,"(0, 2)",3
727,"((1, 0, -1), (1, 0, 0), (0, 0, 0))",2,"(0, 1)",3
3553,"((-1, 0, 0), (1, 0, 0), (0, 0, 1))",0,"(0, 2)",3
4193,"((0, 0, 0), (0, 1, -1), (0, 0, 1))",2,"(0, 0)",3
2295,"((0, 1, 0), (-1, 1, 0), (0, 0, 0))",2,"(0, 0)",3
771,"((1, 0, -1), (0, 1, 0), (0, 0, 0))",0,"(2, 2)",3
4169,"((0, 0, 0), (-1, 1, 0), (1, 0, 0))",2,"(0, 0)",3
