,Board State,Score,Best Move,Depth
71,"((1, -1, 1), (1, -1, 0), (-1, 1, -1))",0,"(1, 2)",8
72,"((1, -1, 1), (1, -1, 0), (-1, 1, 0))",0,"(1, 2)",7
73,"((1, -1, 1), (1, -1, 0), (-1, 0, 1))",-2,"(2, 1)",7
74,"((1, -1, 1), (1, -1, 0), (-1, 0, 0))",0,"(2, 1)",6
75,"((1, -1, 1), (1, -1, 1), (0, 0, -1))",-2,"(2, 1)",7
76,"((1, -1, 1), (1, -1, 0), (0, 1, -1))",0,"(2, 0)",7
77,"((1, -1, 1), (1, -1, 0), (0, 0, -1))",2,"(2, 0)",6
78,"((1, -1, 1), (1, -1, 0), (0, 0, 0))",-2,"(2, 1)",5
79,"((1, -1, 1), (0, -1, 1), (-1, 1, -1))",0,"(1, 0)",8
80,"((1, -1, 1), (0, -1, 1), (-1, 1, 0))",0,"(2, 2)",7
81,"((1, -1, 1), (0, -1, 1), (-1, 0, 0))",2,"(2, 2)",6
82,"((1, -1, 1), (0, -1, 1), (1, 0, -1))",-2,"(2, 1)",7
83,"((1, -1, 1), (0, -1, 1), (0, 1, -1))",0,"(1, 0)",7
84,"((1, -1, 1), (0, -1, 1), (0, 0, -1))",0,"(2, 1)",6
85,"((1, -1, 1), (0, -1, 1), (0, 0, 0))",-2,"(2, 1)",5
86,"((1, -1, 1), (0, -1, -1), (1, 1, -1))",2,"(1, 0)",8
87,"((1, -1, 1), (0, -1, -1), (1, 1, 0))",-2,"(1, 0)",7
88,"((1, -1, 1), (0, -1, -1), (1, 0, 1))",-2,"(1, 0)",7
89,"((1, -1, 1), (0, -1, -1), (1, 0, 0))",2,"(1, 0)",6
90,"((1, -1, 1), (0, -1, 0), (1, 1, -1))",0,"(1, 0)",7
91,"((1, -1, 1), (0, -1, 0), (1, 0, -1))",2,"(1, 0)",6
92,"((1, -1, 1), (0, -1, 0), (1, 0, 0))",-2,"(1, 0)",5
93,"((1, -1, 1), (0, -1, -1), (-1, 1, 1))",0,"(1, 0)",8
94,"((1, -1, 1), (0, -1, -1), (0, 1, 1))",-2,"(1, 0)",7
95,"((1, -1, 1), (0, -1, -1), (0, 1, 0))",0,"(1, 0)",6
96,"((1, -1, 1), (0, -1, 0), (-1, 1, 1))",0,"(1, 2)",7
97,"((1, -1, 1), (0, -1, 0), (-1, 1, 0))",0,"(1, 0)",6
98,"((1, -1, 1), (0, -1, 0), (0, 1, -1))",0,"(1, 0)",6
99,"((1, -1, 1), (0, -1, 0), (0, 1, 0))",0,"(1, 0)",5
100,"((1, -1, 1), (0, -1, -1), (0, 0, 1))",-2,"(1, 0)",6
101,"((1, -1, 1), (0, -1, 0), (-1, 0, 1))",2,"(1, 2)",6
102,"((1, -1, 1), (0, -1, 0), (0, 0, 1))",-2,"(1, 2)",5
103,"((1, -1, 1), (0, -1, 0), (0, 0, 0))",0,"(2, 1)",4
104,"((1, -1, 1), (1, 1, -1), (-1, -1, 0))",2,"(2, 2)",8
105,"((1, -1, 1), (1, 1, -1), (-1, 0, -1))",0,"(2, 1)",8
106,"((1, -1, 1), (1, 1, -1), (-1, 0, 0))",0,"(2, 2)",7
107,"((1, -1, 1), (1, 0, -1), (-1, 1, -1))",0,"(1, 1)",8
108,"((1, -1, 1), (1, 0, -1), (-1, 1, 0))",0,"(1, 1)",7
109,"((1, -1, 1), (1, 0, -1), (-1, -1, 1))",2,"(1, 1)",8
110,"((1, -1, 1), (1, 0, -1), (-1, 0, 1))",0,"(1, 1)",7
111,"((1, -1, 1), (1, 0, -1), (-1, 0, 0))",0,"(1, 1)",6
112,"((1, -1, 1), (1, 1, -1), (0, -1, -1))",2,"(2, 0)",8
113,"((1, -1, 1), (1, 1, -1), (0, -1, 0))",2,"(2, 0)",7
114,"((1, -1, 1), (1, 0, -1), (0, -1, 1))",-2,"(1, 1)",7
115,"((1, -1, 1), (1, 0, -1), (0, -1, 0))",2,"(1, 1)",6
116,"((1, -1, 1), (1, 1, -1), (0, 0, -1))",0,"(2, 0)",7
117,"((1, -1, 1), (1, 0, -1), (0, 1, -1))",0,"(2, 0)",7
118,"((1, -1, 1), (1, 0, -1), (0, 0, -1))",2,"(2, 0)",6
119,"((1, -1, 1), (1, 0, -1), (0, 0, 0))",0,"(2, 0)",5
120,"((1, -1, 1), (0, 1, -1), (-1, 1, -1))",0,"(1, 0)",8
121,"((1, -1, 1), (0, 1, -1), (-1, 1, 0))",0,"(2, 2)",7
122,"((1, -1, 1), (0, 1, -1), (-1, 0, 0))",2,"(2, 2)",6
123,"((1, -1, 1), (0, 1, -1), (0, -1, 0))",2,"(1, 0)",6
124,"((1, -1, 1), (0, 1, -1), (0, 1, -1))",0,"(2, 0)",7
125,"((1, -1, 1), (0, 1, -1), (0, 0, -1))",2,"(2, 0)",6
126,"((1, -1, 1), (0, 1, -1), (0, 0, 0))",2,"(1, 0)",5
127,"((1, -1, 1), (0, 0, -1), (1, -1, 1))",-2,"(1, 1)",7
128,"((1, -1, 1), (0, 0, -1), (1, -1, 0))",2,"(1, 0)",6
129,"((1, -1, 1), (0, 0, -1), (1, 1, -1))",2,"(1, 0)",7
130,"((1, -1, 1), (0, 0, -1), (1, 0, -1))",2,"(1, 0)",6
131,"((1, -1, 1), (0, 0, -1), (1, 0, 0))",2,"(1, 0)",5
132,"((1, -1, 1), (0, 0, -1), (-1, 1, 1))",0,"(1, 1)",7
133,"((1, -1, 1), (0, 0, -1), (-1, 1, 0))",0,"(1, 0)",6
134,"((1, -1, 1), (0, 0, -1), (0, 1, -1))",2,"(2, 0)",6
135,"((1, -1, 1), (0, 0, -1), (0, 1, 0))",0,"(1, 1)",5
136,"((1, -1, 1), (0, 0, -1), (-1, 0, 1))",2,"(1, 1)",6
137,"((1, -1, 1), (0, 0, -1), (0, -1, 1))",2,"(1, 1)",6
138,"((1, -1, 1), (0, 0, -1), (0, 0, 1))",-2,"(1, 1)",5
139,"((1, -1, 1), (0, 0, -1), (0, 0, 0))",2,"(1, 1)",4
140,"((1, -1, 1), (1, 1, 0), (-1, -1, 0))",-2,"(2, 2)",7
141,"((1, -1, 1), (1, 0, 1), (-1, -1, 0))",-2,"(1, 1)",7
142,"((1, -1, 1), (1, 0, 0), (-1, -1, 1))",-2,"(1, 1)",7
143,"((1, -1, 1), (1, 0, 0), (-1, -1, 0))",-2,"(1, 1)",6
